Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
Vernon Carey Jr.,552,CHA,2,32,2020,Duke,2019-20,Duke,31,30,24.9,6.4,11.1,6.2,10.5,0.3,0.7,4.7,7.0,2.7,6.1,8.8,1.0,0.7,1.6,2.0,2.7,17.8,0.577,0.59,0.381,0.67,0.615,0.588,C,FR
Isaiah Stewart,543,POR,1,16,2020,Washington,2019-20,Washington,32,32,32.2,6.0,10.5,5.8,9.9,0.2,0.6,4.8,6.2,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,0.57,0.59,0.25,0.774,0.629,0.577,F,FR
Reggie Perry,538,LAC,2,57,2020,Mississippi State,2019-20,Mississippi State,31,31,31.1,5.9,11.8,5.2,9.5,0.7,2.3,4.8,6.3,3.1,6.9,10.1,2.3,0.8,1.2,2.9,3.1,17.4,0.5,0.542,0.324,0.768,0.587,0.531,F,SO
Desmond Bane,531,BOS,1,30,2020,TCU,2019-20,TCU,32,32,36.0,6.2,13.6,3.3,7.1,2.9,6.5,1.4,1.8,1.4,4.9,6.3,3.9,1.5,0.5,2.3,2.2,16.6,0.452,0.461,0.442,0.789,0.573,0.557,G,SR
Skylar Mays,517,ATL,2,50,2020,Louisiana State,2019-20,Louisiana State,31,31,34.4,5.5,11.1,3.8,7.0,1.6,4.1,4.2,4.9,0.5,4.5,5.0,3.2,1.8,0.2,2.3,1.7,16.7,0.491,0.548,0.394,0.854,0.622,0.564,G,SR
Zeke Nnaji,515,DEN,1,22,2020,Arizona,2019-20,Arizona,32,32,30.7,5.6,9.8,5.4,9.3,0.2,0.5,4.8,6.3,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,0.57,0.586,0.294,0.76,0.63,0.578,F,FR
Justinian Jessup,512,GSW,2,51,2020,Boise State,2019-20,Boise State,32,32,36.0,5.4,12.6,2.3,4.9,3.1,7.7,2.2,2.3,1.0,3.5,4.4,2.1,1.4,0.5,1.3,2.2,16.0,0.426,0.471,0.397,0.959,0.584,0.547,G,SR
Saddiq Bey,499,NJN,1,19,2020,Villanova,2019-20,Villanova,31,31,33.9,5.6,11.8,3.1,6.2,2.5,5.6,2.3,2.9,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,16.1,0.477,0.5,0.451,0.769,0.608,0.584,F,SO
Precious Achiuwa,489,MIA,1,20,2020,Memphis,2019-20,Memphis,31,31,30.4,5.9,11.9,5.5,10.6,0.4,1.3,3.6,6.0,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,0.493,0.514,0.325,0.599,0.534,0.511,F,FR
Immanuel Quickley,482,OKC,1,25,2020,Kentucky,2019-20,Kentucky,30,20,33.0,4.6,11.0,2.5,6.2,2.1,4.8,4.8,5.2,0.5,3.7,4.2,1.9,0.9,0.1,1.6,2.3,16.1,0.417,0.409,0.428,0.923,0.595,0.511,G,SO
Jalen Smith,479,PHO,1,10,2020,Maryland,2019-20,Maryland,31,31,31.3,5.4,10.1,4.4,7.3,1.0,2.8,3.6,4.8,3.2,7.3,10.5,0.8,0.7,2.4,1.7,2.4,15.5,0.538,0.604,0.368,0.75,0.626,0.59,F,SO
Tre Jones,471,SAS,2,41,2020,Duke,2019-20,Duke,29,29,35.4,5.6,13.2,4.2,9.5,1.3,3.7,3.7,4.8,0.7,3.6,4.2,6.4,1.8,0.3,2.7,1.8,16.2,0.423,0.447,0.361,0.771,0.524,0.474,G,SO
Onyeka Okongwu,454,ATL,1,6,2020,Southern California,2019-20,Southern California,28,28,30.6,6.3,10.1,6.2,10.0,0.0,0.1,3.7,5.1,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,0.616,0.621,0.25,0.72,0.645,0.618,F,FR
Tyrell Terry,454,DAL,2,31,2020,Stanford,2019-20,Stanford,31,31,32.6,4.7,10.7,2.7,5.8,2.0,4.9,3.2,3.5,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,0.441,0.47,0.408,0.891,0.589,0.535,G,FR
Nico Mannion,447,GSW,2,48,2020,Arizona,2019-20,Arizona,32,32,32.3,4.5,11.5,2.8,6.4,1.7,5.1,3.3,4.2,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,0.392,0.444,0.327,0.797,0.52,0.465,G,FR
Isaiah Joe,439,PHI,2,49,2020,Arkansas,2019-20,Arkansas,26,25,36.1,5.1,13.8,1.5,3.3,3.6,10.6,3.1,3.5,0.5,3.6,4.1,1.7,1.4,0.3,1.7,1.8,16.9,0.367,0.447,0.342,0.89,0.544,0.497,G,SO
Paul Reed,439,PHI,2,58,2020,DePaul,2019-20,DePaul,29,29,31.7,6.3,12.2,5.7,10.4,0.6,1.8,2.0,2.8,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3.0,15.1,0.516,0.551,0.308,0.738,0.561,0.538,F,JR
Nick Richards,435,NOH,2,42,2020,Kentucky,2019-20,Kentucky,31,30,29.6,5.3,8.2,5.3,8.2,0.0,0.0,3.5,4.7,2.6,5.2,7.8,0.2,0.1,2.1,1.6,3.2,14.0,0.642,0.642,,0.752,0.674,0.642,F,JR
Tyrese Maxey,433,PHI,1,21,2020,Kentucky,2019-20,Kentucky,31,28,34.5,4.8,11.3,3.8,7.7,1.1,3.6,3.2,3.9,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,0.427,0.492,0.292,0.833,0.531,0.474,G,FR
Tyler Bey,429,PHI,2,36,2020,Colorado,2019-20,Colorado,31,30,29.0,4.5,8.5,4.1,7.5,0.4,1.0,4.4,5.9,2.0,7.0,9.0,1.5,1.5,1.2,2.4,1.9,13.8,0.53,0.545,0.419,0.743,0.611,0.555,G,JR
Udoka Azubuike,426,UTA,1,27,2020,Kansas,2019-20,Kansas,31,30,27.7,5.8,7.8,5.8,7.8,0.0,0.0,2.1,4.7,3.5,7.0,10.5,0.9,0.5,2.6,2.5,2.4,13.7,0.748,0.748,,0.441,0.685,0.748,C,SR
Xavier Tillman,425,SAC,2,35,2020,Michigan State,2019-20,Michigan State,31,31,32.1,5.3,9.7,4.9,8.1,0.4,1.6,2.6,4.0,2.7,7.6,10.3,3.0,1.2,2.1,2.0,2.6,13.7,0.55,0.608,0.26,0.667,0.593,0.572,F,JR
Cole Anthony,407,ORL,1,15,2020,North Carolina,2019-20,North Carolina,22,20,34.9,6.0,15.7,3.7,9.3,2.2,6.4,4.4,5.8,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,0.38,0.402,0.348,0.75,0.501,0.451,G,FR
Jahmi'us Ramsey,406,SAC,2,43,2020,Texas Tech,2019-20,Texas Tech,27,27,31.2,5.5,12.4,3.3,7.2,2.2,5.2,1.9,2.9,0.7,3.3,4.0,2.2,1.3,0.7,2.0,2.2,15.0,0.442,0.454,0.426,0.641,0.546,0.531,G,FR
Jaden McDaniels,402,LAL,1,28,2020,Washington,2019-20,Washington,31,21,31.1,4.4,10.8,3.0,6.7,1.4,4.1,2.8,3.7,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13.0,0.405,0.445,0.339,0.763,0.515,0.469,F,FR
Devin Vassell,380,SAS,1,11,2020,Florida State,2019-20,Florida State,30,30,28.8,4.8,9.8,3.3,6.3,1.5,3.5,1.6,2.2,1.3,3.8,5.1,1.6,1.4,1.0,0.8,1.9,12.7,0.49,0.532,0.415,0.738,0.585,0.565,G,SO
Cassius Stanley,364,IND,2,54,2020,Duke,2019-20,Duke,29,29,27.4,4.4,9.3,3.3,6.3,1.1,3.0,2.7,3.6,1.9,3.0,4.9,1.0,0.7,0.7,1.9,2.2,12.6,0.474,0.527,0.36,0.733,0.569,0.531,G,FR
Isaac Okoro,360,CLE,1,5,2020,Auburn,2019-20,Auburn,28,28,31.5,4.5,8.7,3.8,6.2,0.7,2.5,3.2,4.8,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,0.514,0.607,0.286,0.672,0.587,0.556,F,FR
Josh Green,359,DAL,1,18,2020,Arizona,2019-20,Arizona,30,30,30.9,4.1,9.6,3.1,6.8,1.0,2.8,2.8,3.6,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,0.424,0.449,0.361,0.78,0.528,0.476,G,FR
Robert Woodard,352,MEM,2,40,2020,Mississippi State,2019-20,Mississippi State,31,31,33.1,4.4,8.9,3.4,6.6,1.0,2.3,1.6,2.5,2.2,4.4,6.5,1.3,1.1,1.0,1.9,1.9,11.4,0.495,0.517,0.429,0.641,0.564,0.549,G,SO
Tyrese Haliburton,335,SAC,1,12,2020,Iowa State,2019-20,Iowa State,22,22,36.7,5.6,11.1,3.2,5.5,2.4,5.6,1.7,2.0,1.5,4.4,5.9,6.5,2.5,0.7,2.8,1.3,15.2,0.504,0.592,0.419,0.822,0.631,0.611,G,SO
Aaron Nesmith,322,BOS,1,14,2020,Vanderbilt,2019-20,Vanderbilt,14,14,35.7,7.5,14.6,3.2,6.4,4.3,8.2,3.7,4.5,0.8,4.1,4.9,0.9,1.4,0.9,1.7,2.8,23.0,0.512,0.5,0.522,0.825,0.685,0.659,F,SO
Patrick Williams,268,CHI,1,4,2020,Florida State,2019-20,Florida State,29,0,22.5,3.3,7.1,2.7,5.4,0.6,1.7,2.1,2.6,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,0.459,0.503,0.32,0.838,0.553,0.498,F,FR
James Wiseman,59,GSW,1,2,2020,Memphis,2019-20,Memphis,3,3,23.0,6.7,8.7,6.7,8.3,0.0,0.3,6.3,9.0,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,0.769,0.8,0.0,0.704,0.76,0.769,C,FR
Luka Garza,747,DET,2,52,2021,Iowa,2020-21,Iowa,31,31,31.5,9.1,16.4,7.6,13.2,1.4,3.2,4.5,6.4,3.0,5.7,8.7,1.7,0.7,1.6,1.5,2.3,24.1,0.553,0.581,0.44,0.709,0.62,0.596,F,SR
Cameron Thomas,668,NJN,1,27,2021,Louisiana State,2020-21,Louisiana State,29,29,34.0,7.0,17.2,4.7,10.0,2.3,7.2,6.7,7.6,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,0.406,0.464,0.325,0.882,0.553,0.474,G,FR
Corey Kispert,595,WAS,1,15,2021,Gonzaga,2020-21,Gonzaga,32,32,31.8,6.5,12.3,3.7,5.9,2.8,6.5,2.7,3.1,0.9,4.0,5.0,1.8,0.9,0.4,1.3,1.7,18.6,0.529,0.628,0.44,0.878,0.674,0.644,F,SR
Ayo Dosunmu,564,CHI,2,38,2021,Illinois,2020-21,Illinois,28,28,35.1,7.5,15.4,6.4,12.4,1.1,2.9,4.0,5.1,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1,0.488,0.511,0.39,0.783,0.566,0.526,G,JR
Cade Cunningham,544,DET,1,1,2021,Oklahoma State,2020-21,Oklahoma State,27,26,35.4,6.5,14.8,4.2,9.1,2.3,5.7,4.9,5.8,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,0.438,0.461,0.4,0.846,0.574,0.515,G,FR
Evan Mobley,540,CLE,1,3,2021,Southern California,2020-21,Southern California,33,33,33.9,6.0,10.3,5.6,9.1,0.4,1.2,4.1,5.8,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,0.578,0.615,0.3,0.694,0.624,0.595,F,FR
Moses Moody,539,GSW,1,14,2021,Arkansas,2020-21,Arkansas,32,32,33.8,5.2,12.1,3.3,7.0,1.8,5.1,4.7,5.8,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,0.427,0.478,0.358,0.812,0.568,0.503,G,FR
Quentin Grimes,535,LAC,1,25,2021,Houston,2020-21,Houston,30,30,32.8,5.8,14.2,2.4,5.9,3.3,8.3,3.0,3.8,1.6,4.1,5.7,2.0,1.4,0.3,1.8,2.2,17.8,0.406,0.41,0.403,0.788,0.558,0.523,G,JR
Jared Butler,502,NOH,2,40,2021,Baylor,2020-21,Baylor,30,30,30.3,5.9,12.5,3.3,6.4,2.6,6.2,2.4,3.0,0.4,2.9,3.3,4.8,2.0,0.4,2.8,2.4,16.7,0.471,0.524,0.416,0.78,0.599,0.573,G,JR
Charles Bassey,494,PHI,2,53,2021,Western Kentucky,2020-21,Western Kentucky,28,28,30.4,6.9,11.8,6.3,9.6,0.6,2.1,3.1,4.1,3.3,8.3,11.6,0.7,0.4,3.1,2.2,2.4,17.6,0.59,0.652,0.305,0.759,0.643,0.617,C,JR
Sandro Mamukelashvili,473,IND,2,54,2021,Seton Hall,2020-21,Seton Hall,27,27,35.6,6.2,14.3,4.7,9.7,1.6,4.6,3.5,4.9,1.9,5.7,7.6,3.2,1.1,0.6,3.3,1.7,17.5,0.434,0.481,0.336,0.714,0.525,0.488,F,SR
Nah'Shon Hyland,467,DEN,1,26,2021,VCU,2020-21,VCU,24,24,31.9,6.3,14.2,3.5,6.4,2.9,7.8,3.9,4.5,0.2,4.5,4.7,2.1,1.9,0.2,3.1,2.2,19.5,0.447,0.539,0.371,0.862,0.596,0.549,G,SO
Kessler Edwards,465,NJN,2,44,2021,Pepperdine,2020-21,Pepperdine,27,26,33.9,6.1,12.4,4.4,8.0,1.7,4.4,3.4,3.9,1.2,5.6,6.8,1.2,1.0,1.2,1.8,2.1,17.2,0.491,0.553,0.378,0.876,0.606,0.558,F,JR
Joe Wieskamp,460,SAS,2,41,2021,Iowa,2020-21,Iowa,31,31,29.3,5.2,10.6,2.8,5.5,2.4,5.1,2.1,3.1,1.2,5.5,6.6,1.7,0.9,0.3,1.4,1.5,14.8,0.491,0.518,0.462,0.677,0.616,0.602,G,JR
Miles McBride,460,OKC,2,36,2021,West Virginia,2020-21,West Virginia,29,28,34.2,5.4,12.6,3.8,8.7,1.6,3.8,3.4,4.2,1.2,2.7,3.9,4.8,1.9,0.3,1.8,1.7,15.9,0.431,0.439,0.414,0.813,0.544,0.495,G,SO
Marcus Zegarowski,459,NJN,2,49,2021,Creighton,2020-21,Creighton,29,29,33.6,5.6,12.0,2.8,5.5,2.8,6.6,1.9,2.4,0.3,3.3,3.6,4.3,1.3,0.1,2.1,1.9,15.8,0.464,0.516,0.421,0.786,0.6,0.579,G,JR
Aaron Wiggins,448,OKC,2,55,2021,Maryland,2020-21,Maryland,31,30,33.0,5.3,11.9,3.5,6.8,1.8,5.2,2.0,2.5,1.1,4.7,5.8,2.5,1.1,0.5,2.0,2.0,14.5,0.446,0.514,0.356,0.772,0.55,0.523,G,JR
Chris Duarte,445,IND,1,13,2021,Oregon,2020-21,Oregon,26,26,34.1,6.2,11.6,3.8,6.0,2.3,5.5,2.5,3.0,0.7,3.9,4.6,2.7,1.9,0.8,2.3,1.4,17.1,0.532,0.631,0.424,0.81,0.657,0.633,G,SR
Neemias Queta,433,SAC,2,39,2021,Utah State,2020-21,Utah State,29,29,30.0,5.8,10.3,5.8,10.2,0.0,0.1,3.4,4.8,2.9,7.3,10.1,2.7,1.1,3.3,2.4,2.4,14.9,0.559,0.562,0.0,0.707,0.592,0.559,C,JR
Jalen Suggs,431,ORL,1,5,2021,Gonzaga,2020-21,Gonzaga,30,30,28.9,5.2,10.3,4.0,6.8,1.2,3.5,2.9,3.8,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,0.503,0.588,0.337,0.754,0.595,0.56,G,FR
Davion Mitchell,420,SAC,1,9,2021,Baylor,2020-21,Baylor,30,30,33.0,5.3,10.3,3.2,5.6,2.1,4.7,1.4,2.1,0.5,2.2,2.7,5.5,1.9,0.4,2.4,2.4,14.0,0.511,0.565,0.447,0.641,0.619,0.613,G,JR
Jeremiah Robinson-Earl,393,NYK,2,32,2021,Villanova,2020-21,Villanova,25,25,34.5,6.2,12.5,5.3,9.2,0.9,3.3,2.4,3.4,2.5,6.0,8.5,2.2,1.0,0.6,1.6,2.3,15.7,0.497,0.574,0.28,0.714,0.558,0.534,F,SO
Tre Mann,385,OKC,1,18,2021,Florida,2020-21,Florida,24,24,32.4,5.5,12.1,3.7,7.4,1.9,4.7,3.1,3.7,0.7,5.0,5.6,3.5,1.4,0.1,2.8,2.4,16.0,0.459,0.494,0.402,0.831,0.579,0.536,G,SO
Herb Jones,370,NOH,2,35,2021,Alabama,2020-21,Alabama,33,33,27.3,3.9,8.8,3.3,7.0,0.6,1.7,2.8,3.9,2.5,4.1,6.6,3.3,1.7,1.1,2.8,2.8,11.2,0.446,0.47,0.351,0.713,0.528,0.481,F,SR
Santi Aldama,361,UTA,1,30,2021,Loyola (MD),2020-21,Loyola (MD),17,17,35.0,7.9,15.5,6.1,10.4,1.9,5.1,3.5,5.1,1.8,8.3,10.1,2.3,1.0,1.7,3.2,1.9,21.2,0.513,0.585,0.368,0.686,0.594,0.574,F,SO
Franz Wagner,349,ORL,1,8,2021,Michigan,2020-21,Michigan,28,28,31.7,4.4,9.3,3.2,5.6,1.3,3.6,2.4,2.8,0.7,5.8,6.5,3.0,1.3,1.0,1.3,2.2,12.5,0.477,0.563,0.343,0.835,0.587,0.544,G,SO
Jason Preston,314,ORL,2,33,2021,Ohio,2020-21,Ohio,20,20,34.6,6.4,12.4,4.8,8.3,1.6,4.1,1.4,2.4,1.1,6.2,7.3,7.3,1.5,0.3,3.0,1.4,15.7,0.514,0.576,0.39,0.596,0.583,0.579,G,JR
Jaden Springer,313,PHI,1,28,2021,Tennessee,2020-21,Tennessee,25,15,25.9,4.2,9.1,3.4,7.2,0.8,1.8,3.2,4.0,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0,12.5,0.467,0.475,0.435,0.81,0.57,0.511,G,FR
Keon Johnson,306,NYK,1,21,2021,Tennessee,2020-21,Tennessee,27,17,25.5,4.1,9.1,3.6,7.4,0.5,1.8,2.6,3.7,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,0.449,0.492,0.271,0.703,0.519,0.476,G,FR
Isaiah Livers,301,DET,2,42,2021,Michigan,2020-21,Michigan,23,23,31.6,4.4,9.7,2.3,4.7,2.2,5.0,2.0,2.3,1.1,4.9,6.0,2.0,0.6,0.7,1.1,1.6,13.1,0.457,0.486,0.431,0.87,0.605,0.57,F,SR
Raiquan Gray,297,NJN,2,59,2021,Florida State,2020-21,Florida State,25,24,26.3,4.4,8.4,4.0,7.2,0.3,1.2,2.8,3.7,1.5,4.9,6.4,2.2,1.2,0.7,2.2,2.6,11.9,0.517,0.558,0.267,0.763,0.582,0.536,F,JR
Brandon Boston Jr.,287,MEM,2,51,2021,Kentucky,2020-21,Kentucky,25,24,30.4,4.1,11.6,2.9,7.6,1.2,4.0,2.0,2.6,1.3,3.2,4.5,1.6,1.3,0.2,1.4,2.0,11.5,0.355,0.384,0.3,0.785,0.447,0.407,G,FR
Trey Murphy III,282,MEM,1,17,2021,Virginia,2020-21,Virginia,25,20,29.6,3.8,7.6,1.8,2.8,2.1,4.8,1.5,1.6,0.6,2.8,3.4,1.2,0.8,0.4,0.8,2.0,11.3,0.503,0.62,0.433,0.927,0.67,0.639,G,JR
James Bouknight,281,CHA,1,11,2021,Connecticut,2020-21,Connecticut,15,14,31.7,6.5,14.6,5.1,9.6,1.5,5.0,4.2,5.4,1.5,4.1,5.7,1.8,1.1,0.3,2.8,1.9,18.7,0.447,0.528,0.293,0.778,0.546,0.498,G,SO
Day'Ron Sharpe,275,PHO,1,29,2021,North Carolina,2020-21,North Carolina,29,4,19.2,3.9,7.4,3.9,7.4,0.0,0.1,1.8,3.5,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,0.519,0.523,0.0,0.505,0.521,0.519,F,FR
Dalano Banton,258,TOR,2,46,2021,Nebraska,2020-21,Nebraska,27,22,27.3,3.3,8.1,2.6,5.1,0.7,3.0,2.1,3.3,1.0,4.9,5.9,3.9,1.0,0.9,2.5,2.1,9.6,0.411,0.507,0.247,0.659,0.495,0.457,G,SO
JT Thor,253,DET,2,37,2021,Auburn,2020-21,Auburn,27,27,23.0,3.1,7.1,2.3,4.3,0.8,2.7,2.3,3.1,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4,0.44,0.53,0.297,0.741,0.547,0.497,F,FR
Scottie Barnes,248,TOR,1,4,2021,Florida State,2020-21,Florida State,24,7,24.8,4.1,8.1,3.6,6.5,0.5,1.7,1.7,2.8,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,0.503,0.561,0.275,0.621,0.548,0.531,G,FR
Joshua Primo,244,SAS,1,12,2021,Alabama,2020-21,Alabama,30,19,22.5,2.8,6.5,1.4,2.7,1.4,3.8,1.1,1.5,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,0.431,0.5,0.381,0.75,0.565,0.541,G,FR
Greg Brown,243,NOH,2,43,2021,Texas,2020-21,Texas,26,24,20.6,3.1,7.4,2.0,3.9,1.2,3.5,2.0,2.8,1.2,5.0,6.2,0.4,0.6,1.0,2.3,3.0,9.3,0.42,0.5,0.33,0.708,0.535,0.497,F,FR
Sharife Cooper,242,ATL,2,48,2021,Auburn,2020-21,Auburn,12,12,33.1,6.0,15.3,4.9,10.6,1.1,4.8,7.1,8.6,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7,20.2,0.391,0.465,0.228,0.825,0.519,0.427,G,FR
David Johnson,240,TOR,2,47,2021,Louisville,2020-21,Louisville,19,19,35.1,4.7,11.5,3.1,7.2,1.7,4.4,1.5,2.1,0.9,4.9,5.8,3.2,1.1,0.3,3.2,2.7,12.6,0.411,0.426,0.386,0.7,0.504,0.484,G,SO
Jericho Sims,240,NYK,2,58,2021,Texas,2020-21,Texas,26,26,24.5,3.6,5.2,3.6,5.2,0.0,0.0,2.0,3.8,2.2,5.1,7.2,0.7,0.7,1.1,1.6,2.5,9.2,0.696,0.696,,0.52,0.658,0.696,F,SR
Kai Jones,230,NYK,1,19,2021,Texas,2020-21,Texas,26,4,22.8,3.2,5.5,2.7,4.2,0.5,1.3,2.0,2.8,2.0,2.9,4.8,0.6,0.8,0.9,1.4,2.7,8.8,0.58,0.642,0.382,0.689,0.646,0.626,F,SO
Balsa Koprivica,219,CHA,2,57,2021,Florida State,2020-21,Florida State,24,20,19.5,3.7,6.1,3.6,6.1,0.0,0.0,1.8,2.5,2.1,3.5,5.6,0.8,0.3,1.4,1.3,2.6,9.1,0.599,0.596,1.0,0.689,0.622,0.602,C,SO
Josh Christopher,214,HOU,1,24,2021,Arizona State,2020-21,Arizona State,15,15,29.7,5.1,11.7,3.9,7.8,1.2,3.9,2.9,3.7,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2,14.3,0.432,0.496,0.305,0.8,0.529,0.483,G,FR
Ziaire Williams,214,NOH,1,10,2021,Stanford,2020-21,Stanford,20,14,27.9,3.8,10.2,2.7,6.2,1.2,4.0,2.0,2.5,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,0.374,0.427,0.291,0.796,0.473,0.431,F,FR
Isaiah Jackson,211,LAL,1,22,2021,Kentucky,2020-21,Kentucky,25,18,20.8,3.0,5.5,3.0,5.4,0.0,0.1,2.5,3.6,2.1,4.5,6.6,0.7,0.8,2.6,1.5,3.0,8.4,0.54,0.548,0.0,0.7,0.587,0.54,F,FR
Scottie Lewis,165,CHA,2,56,2021,Florida,2020-21,Florida,21,9,25.6,2.7,6.1,2.0,4.0,0.7,2.1,1.8,2.6,0.8,2.3,3.1,1.5,1.6,1.0,1.9,2.5,7.9,0.445,0.512,0.318,0.673,0.535,0.5,G,SO
Jalen Johnson,146,ATL,1,20,2021,Duke,2020-21,Duke,13,8,21.4,4.4,8.4,3.8,7.0,0.6,1.4,1.8,2.9,1.5,4.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,0.523,0.538,0.444,0.632,0.575,0.56,F,FR
